"","nzffdRecordNumber","institutionRecordNumber","eventDate","eventTime","institution","samplingPurpose","waterBody","waterBodyType","waterPermanence","site","catchmentNumber","catchmentName","eastingNZTM","northingNZTM","decimalLongitude","decimalLatitude","recSegment","minimumElevation","distanceOcean","siteTidal","siteLandlocked","downstreamBarrier","eventLocationRemarks","siteReachLength","siteAverageWidth","minimumSampledDepth","maximumSampledDepth","waterLevel","waterColour","waterClarity","clarityMethod","waterTemperature","waterConductivity","waterDissolvedOxygenPercent","waterDissolvedOxygenPPM","waterPH","waterSalinity","habitatFlowPercent","habitatSubstratePercent","habitatInstreamCoverPresent","habitatRiparianVegPercent","samplingMethod","samplingProtocol","EfmNumberOfPasses","EfmVoltage","EfmPulseRate","EfmPulseRateWidth","EfmAnodeSize","EfmMinutes","EfmArea","NetsTrapsTotalNumber","NetsTrapsBaited","NetsTrapsMeshSize","NetsTrapsDayNight","NetsTrapsAverageSetTime","ObservationArea","taxonName","taxonCommonName","taxonRemarks","totalCount","present","soughtNotDetected","occurrenceRemarks","minLength","maxLength","indLengths","dataVersion"
"1",29241,"","2008-02-04","night","Canterbury University","","Wakapuaka River","Not Entered","Perennial",NA,"581.000","Wakapuaka R",1634529,5438714,-41.202206,173.411824,10011937,30,4.5,"n","u","u","",NA,12.5,NA,NA,"Unknown","Colourless",NA,NA,14.4,NA,NA,NA,8.3,NA,"Fine gravel:30, Sand (1-2 mm):30, Cobbles (64-257 mm):5, Coarse gravel:35","Wood/instream debris:n, Macrophytes-algae:n, Bank vegetation:y, Undercut banks:y","Riffle:15, Run:70, Pool:15","Grass/tussock:10, Scrub:60, Exposed bed:30","Observation - Spotlighting not captured to ID","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Salmo trutta","Brown trout","",NA,"false","false",NA,NA,NA,"","V1"
"2",21330,"","2005-11-30","day","NIWA","","Tasman River","Not Entered","Perennial",NA,"711.380","Waitaki R",1368530,5146277,-43.800348,170.122592,13144266,605,194.6,"n","u","y","",NA,NA,NA,NA,"Medium","Colourless",NA,NA,12,0.12,NA,NA,NA,NA,"Cobbles (64-257 mm):19, Mud:12, Fine gravel:30, Sand (1-2 mm):1, Boulders (> 257 mm):8, Coarse gravel:30","Bank vegetation:n, Undercut banks:n, Macrophytes-algae:y, Wood/instream debris:n","Run:70, Riffle:20, Backwater:10","Exposed bed:90, Grass/tussock:10","Electric fishing - Backpack","Unknown",1,NA,NA,NA,"",NA,50,NA,"","",NA,NA,NA,"Gobiomorphus breviceps","Upland bully","",21,"false","false",NA,20,91,"","V1"
"3",11147,"","1992-04-10","15:00","Fish and Game Nelson Marlborough","","Black Valley Stream","Not Entered","Perennial",NA,"932.620","Buller R",1587712,5372320,-41.800888,172.852086,12038958,700,169,"n","u","u","",NA,1.2,NA,0.5,"Low","",NA,NA,11,NA,NA,NA,6.8,NA,"Mud:10, Coarse gravel:75, Fine gravel:15","Bank vegetation:y, Undercut banks:y, Wood/instream debris:y, Macrophytes-algae:n","Riffle:10, Backwater:5, Run:75, Pool:10","Grass/tussock:100","Electric fishing - Type unknown","Unknown",3,NA,NA,NA,"",NA,30,NA,"","",NA,NA,NA,"Salmo trutta","Brown trout","",11,"false","false",NA,65,250,"","V1"
"4",22087,"","2003-02-21","13:00","Department of Conservation Nelson Marlborough","","Unnamed wetland","Not Entered","Perennial",NA,"553.000","Awaroa B",1603513,5476381,-40.863624,173.041685,5,5,0.6,"n","u","n","",NA,NA,NA,2,"Low","Tea coloured or brown",NA,NA,NA,NA,NA,NA,NA,NA,"Mud:100","Undercut banks:y, Bank vegetation:y, Wood/instream debris:y, Macrophytes-algae:y","Still:100","Native forest:60, Raupo/flax:30, Scrub:10","Electric fishing - combination of nets traps and electric fishing","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Anguilla australis","Shortfin eel","",NA,"true","false",NA,200,450,"","V1"
"5",21634,"","2002-05-01","day","North Shore City Council","","Kaipatiki Creek","Not Entered","Perennial",NA,"078.023","Waitemata Hbr",1753301,5925468,-36.804222,174.718477,2037170,20,2.1,"n","u","u","",NA,0.7,NA,0.3,"Unknown","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Other net - Hand net","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Paranephrops","Koura","",8,"false","false",NA,NA,NA,"","V1"
"6",26752,"","2006-03-09","17:00","Department of Conservation Otago","","Ahuriri River tributary","Not Entered","Perennial",NA,"711.310","Waitaki R",1358166,5071561,-44.468786,169.959627,13182506,430,128.5,"n","u","y","",NA,NA,NA,NA,"Unknown","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Electric fishing - Backpack","Unknown",NA,NA,NA,NA,"Large",NA,5,NA,"","",NA,NA,NA,"Galaxias macronasus","Bignose galaxias","",1,"false","false",NA,32,NA,"","V1"
"7",9300,"","1992-04-07","13:15","Bioresearches","","Milnes Stream","Not Entered","Perennial",NA,"434.120","Waikato R",1793524,5890873,-37.108487,175.177966,3043616,120,72.4,"n","u","u","C.",20,1,NA,0.3,"Unknown","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Sand (1-2 mm):10, Coarse gravel:40, Fine gravel:40, Cobbles (64-257 mm):10","","","","Electric fishing - Backpack","Unknown",3,NA,NA,NA,"",NA,20,NA,"","",NA,NA,NA,"Anguilla","Unidentified eel","",2,"false","false",NA,NA,100,"","V1"
"8",36002,"","2013-04-18","","Department of Conservation Waikato","","Rauroa Stream","Not Entered","Perennial",NA,"408.000","Awakino R",1754961,5728398,-38.579379,174.779009,3122558,130,31.6,"n","u","n","up main stream gen too large turbulent for spotlghting",200,4,NA,0.8,"High","Tea coloured or brown",NA,NA,NA,NA,NA,NA,NA,NA,"Cobbles (64-257 mm):50, Boulders (> 257 mm):50","Bank vegetation:y, Wood/instream debris:n, Undercut banks:y, Macrophytes-algae:n","Rapid:40, Pool:10, Run:20, Riffle:30","Native forest:20, Grass/tussock:80","Observation - Spotlighting not captured to ID","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Galaxias postvectis","Shortjaw kokopu","",2,"false","false",NA,215,220,"","V1"
"9",25563,"","2004-01-27","17:10","Department of Conservation Otago","","Long Spur Creek tributary","Not Entered","Unknown",NA,"752.886","Clutha R",1331044,5047210,-44.678046,169.606491,14196512,700,267.6,"n","u","y","Seepage creek.",NA,4,NA,0.9,"High","Colourless",NA,NA,NA,NA,NA,NA,NA,NA,"Sand (1-2 mm):10, Fine gravel:10, Mud:80","Bank vegetation:n, Wood/instream debris:n, Macrophytes-algae:n, Undercut banks:n","Pool:100","Grass/tussock:90, Scrub:10","Electric fishing - Bank generator or mains","Unknown",1,NA,NA,NA,"",NA,20,NA,"","",NA,NA,NA,"Nil","No species recorded","",NA,"false","false",NA,NA,NA,"","V1"
"10",108023,"2082","2014-01-21","","Southland Regional Council","","Wairio Stream","Not Entered","Unknown",NA,"789.203","Aparima R",1210847,4884573,-46.081463,167.966648,15300573,65,47.82,"u","u","u","",NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Electric fishing - Backpack","Unknown",NA,NA,NA,NA,"Large",NA,NA,NA,"","",NA,NA,NA,"Gobiomorphus breviceps","Upland bully","",30,"false","false",NA,30,73,"63,50,42,47,37,36,36,38,39,43,46,45,42,40,50,47,46,42,60,42,46,43,46,46,63,38,30,52,73,48","V1"
"11",107839,"1898","2008-11-03","20:40","Department of Conservation Northland","","Lake Waikere","Not Entered","Unknown",NA,"468.000","L Waikere",1656626,6038329,-35.797511,173.626685,NA,NA,NA,"u","u","u","",NA,NA,NA,NA,"","",NA,NA,18.1,NA,NA,NA,NA,NA,"","","","","Observation - Spotlighting not captured to ID","Unknown",NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,"Paranephrops","Koura","",1,"false","false",NA,NA,NA,"","V1"
